id,category_id,name,rating,year
1,2,The Witcher 3: Wild Hunt,9.61,2015
2,4,Warcraft III: The Frozen Throne,9.00,2003
3,1,Max Payne 2: The Fall of Max Payne,8.63,2003
4,3,The Last of Us,9.45,2013
5,3,Mafia II,8.94,2010
6,1,Grand Theft Auto V,9.18,2013
7,5,Far Cry 3,8.67,2012
8,4,Plants vs. Zombies,8.90,2009
9,2,Diablo III,9.22,2012
10,8,Mortal Kombat X,8.70,2015
11,7,Tetris,9.05,1984
12,5,Doom,8.75,2016
13,2,Mass Effect 3,9.00,2012
14,3,Uncharted 4: A Thief's End,9.33,2016
15,2,Call of Duty: Black Ops II,8.88,2012
16,5,Metro: Last Light,9.25,2013
17,1,Outlast,9.00,2013
18,6,Need for Speed: Most Wanted,9.08,2005
19,4,Warcraft III: Reign of Chaos,9.29,2002
20,3,The Walking Dead: The Game - Season 2,9.00,2014